,action,cos,sin,omega,reward
0,,-0.7194400429725647,-0.6945545673370361,0.43654710054397583,
1,2.0,-0.7119099497795105,-0.7022707462310791,0.21563118696212769,-5.6579461097717285
2,2.0,-0.7122986316680908,-0.7018765211105347,-0.011071866378188133,-5.59246826171875
3,2.0,-0.7205823063850403,-0.693369448184967,-0.23747925460338593,-5.590447425842285
4,2.0,-0.7362534403800964,-0.6767058968544006,-0.45750632882118225,-5.652345657348633
5,2.0,-0.7583439350128174,-0.6518546342849731,-0.6650357842445374,-5.776838302612305
6,2.0,-0.7854762077331543,-0.6188918948173523,-0.8539267182350159,-5.960736274719238
7,2.0,-0.8159496784210205,-0.5781229734420776,-1.01809561252594,-6.198889255523682
8,1.29062020778656,-0.850678563117981,-0.5256862640380859,-1.2580947875976562,-6.48178243637085
9,-0.7175127863883972,-0.8935872316360474,-0.4488895833492279,-1.759986400604248,-6.856906890869141
10,-2.0,-0.9408419728279114,-0.3388455808162689,-2.396653652191162,-7.475107669830322
11,-2.0,-0.980432391166687,-0.19685609638690948,-2.9507877826690674,-8.395468711853027
12,-2.0,-0.9996016025543213,-0.028224987909197807,-3.3984298706054688,-9.538568496704102
13,-2.0,-0.9875830411911011,0.157097727060318,-3.7195985317230225,-10.851967811584473
14,-2.0,-0.938395082950592,0.34556418657302856,-3.901775360107422,-10.290851593017578
15,-2.0,-0.8525401949882507,0.5226616859436035,-3.9426021575927734,-9.303526878356934
16,-2.0,-0.7367802858352661,0.6761322617530823,-3.8506059646606445,-8.274918556213379
17,-2.0,-0.6020935773849487,0.798425555229187,-3.6435067653656006,-7.242360591888428
18,-2.0,-0.4607909917831421,0.8875086903572083,-3.3446874618530273,-6.246234893798828
19,-2.0,-0.32398006319999695,0.9460638761520386,-2.9790561199188232,-5.323892116546631
20,-2.0,-0.20009809732437134,0.9797758460044861,-2.5695080757141113,-4.504251003265381
21,-2.0,-0.09458264708518982,0.9955170154571533,-2.134676218032837,-3.8051228523254395
22,-2.0,-0.010322132147848606,0.9999467134475708,-1.6880384683609009,-3.233643054962158
23,-2.0,0.051558732986450195,0.9986699819564819,-1.2380783557891846,-2.7888834476470947
24,-2.0,0.09090971201658249,0.9958591461181641,-0.7890759110450745,-2.465297222137451
25,-2.0,0.10793380439281464,0.9941580891609192,-0.34218156337738037,-2.2559564113616943
26,-2.0,0.10279075056314468,0.9947029948234558,0.10343699157238007,-2.155059337615967
27,-2.0,0.07542771100997925,0.997151255607605,0.549464225769043,-2.159576416015625
28,-2.0,0.025630226358771324,0.9996715188026428,0.9973276853561401,-2.270103931427002
29,-2.0,-0.046704038977622986,0.9989087581634521,1.4470813274383545,-2.4909958839416504
30,-2.0,-0.14106211066246033,0.9900007247924805,1.8962628841400146,-2.8297667503356934
31,-2.0,-0.25560393929481506,0.9667815566062927,2.338763475418091,-3.295657157897949
32,-2.0,-0.3863442838191986,0.9223546385765076,2.7638497352600098,-3.897205352783203
33,-2.0,-0.5264720320701599,0.8501924276351929,3.1556155681610107,-4.638790130615234
34,-2.0,-0.666205108165741,0.7457685470581055,3.493259906768799,-5.516444206237793
35,-2.0,-0.7936211824417114,0.6084122657775879,3.7525863647460938,-6.513849258422852
36,-2.0,-0.8966671228408813,0.4427054226398468,3.908895492553711,-7.600017070770264
37,-2.0,-0.9659858345985413,0.25859495997428894,3.940924644470215,-8.73032283782959
38,-2.0,-0.9975633025169373,0.06976712495088577,3.8348708152770996,-9.85163402557373
39,-2.0,-0.9940069317817688,-0.10931704938411713,3.587196111679077,-10.91038703918457
40,-2.0,-0.9638251662254333,-0.2665351927280426,3.2052083015441895,-10.48416519165039
41,-0.2508906126022339,-0.913829505443573,-0.40609800815582275,2.9676733016967773,-9.274612426757812
42,2.0,-0.8438730239868164,-0.5365428924560547,2.963099956512451,-8.301684379577637
43,2.0,-0.758772611618042,-0.6513556241989136,2.8606927394866943,-7.5139479637146
