0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.0,0.0,-30.544586511642155,-31.93435821436499,-34.041254740082785,-35.10802307500559,-35.017390747357425,-34.6905527829406,-34.051102649466834,-33.52982559384972,-33.644589814889784,-32.942597572021704,-31.94846403768394,-27.296329991319208,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-13.741595618963661,-31.46753910938113,-32.70843847625414,-36.02317482349768,-36.13992962298378,-36.25360903208616,-35.179056417236055,-36.2658941896015,-36.99548689742775,-37.7822394516997,-35.35012728777811,-30.634784501724248,-30.603382682414793,-28.93383396422704,0.0,0.0,0.0,0.0,0.0
0.0,-30.647679679941326,-31.49581930206233,-36.00350450973967,-36.62875832099523,-37.1888449614536,-38.84917677991092,-41.95653350989955,-43.17572500278576,-43.86528969648378,-43.85759994563547,-42.26488020466143,-38.082973469299496,-33.60657652793803,-28.87497282085458,-27.847078143862905,0.0,0.0,0.0,0.0
-6.045100942442694,-30.638785551106025,-32.41418969798072,-37.3471369232191,-38.31911487056781,-39.747702302170474,-43.68776270306779,-47.40327159543592,-44.72812579517916,-44.71688249614473,-48.20457806872239,-45.79324641491618,-39.356373934891394,-38.68194573534489,-32.31549568210752,-28.79743673102002,-25.54262747034349,0.0,0.0,0.0
-19.995297479006688,-31.794132629944386,-36.04282698147728,-37.3785125889278,-38.61676191205364,-43.20251036026446,-48.39222509391625,-47.095319502550346,-47.521916644545065,-54.2310299809475,-50.72997539924149,-42.440787401329914,-40.56572876714727,-38.96672640265534,-38.76938484438533,-32.424674172937415,-24.53069474436978,-25.88330534845773,0.0,0.0
-31.88288498982184,-32.58093236836868,-37.30435371517211,-38.210543837770985,-42.6037845008739,-46.686631011303945,-50.21005925473515,-50.627623042865785,-58.24641062541761,-59.79315062376446,-59.16204053744294,-57.14011142116829,-50.83816383837556,-39.30671346708115,-40.560315544080915,-32.9028622389705,-24.495974436206218,-23.08787493229238,0.0,0.0
-27.15680965812612,-32.76294257298263,-36.64669456511705,-38.784852677739565,-42.62720434860439,-47.21050127958708,-51.784385062134476,-55.41804986684754,-62.10857083215298,-63.01198032074786,-63.86632613221874,-60.243836737661994,-54.122313868319004,-50.08361040022863,-48.47524661230938,-33.72970493999368,-25.82617746801788,-22.635614757710172,-17.367110687040025,0.0
-22.118738725101775,-33.09142663988725,-37.16874757325326,-39.32575319983938,-42.682401154401674,-46.94296500698813,-51.0809183308808,-53.88863768228092,-58.22500276222748,-71.45450051872169,-69.4123874183703,-61.34068211941258,-58.218298122112,-51.621052053108556,-52.195747391188924,-43.58108527644317,-32.31712795655191,-25.408890887138828,-19.476856924965674,0.0
0.0,-33.322119690013565,-37.51779270216045,-39.6903178579814,-42.622629863681716,-46.747608793237106,-50.44508450425182,-54.01312899144152,-55.744346882555156,-63.26104641849786,-60.98211674189762,-60.80358088142846,-59.015286007937775,-53.724886902888755,-51.074416568830465,-45.13973953678948,-35.32494517676079,-26.840051387229142,-21.406137153442998,0.0
0.0,-32.87791439682875,-37.33302133116139,-39.211495855106335,-40.46148970723938,-45.100503090546056,-48.6620574898726,-51.69239203355395,-55.74992850803494,-57.315820366832114,-58.45865221474549,-58.23807360360457,-57.80892174054276,-50.85864465653056,-48.47903617649156,-44.83578542770094,-36.20393622889583,-22.320390718711753,-22.09066904346775,0.0
0.0,-27.304963836272336,-33.2198744569617,-37.552417104968626,-40.39181587796615,-40.495693018327906,-47.05711547985903,-47.89744481697614,-51.47262024111971,-53.854104465910815,-53.52764739130541,-53.5010955042397,-51.025840923988056,-50.41975519939223,-45.8576376096683,-43.4225520694411,-29.765746235645533,-17.959241870846576,-16.251590506052093,0.0
0.0,0.0,-25.435732212194345,-33.76827909208851,-39.088102132116546,-40.64991088876373,-41.08115306398281,-46.410008250781914,-46.13879475160149,-47.48663006902479,-47.78387071920731,-48.171254462641166,-48.13660729908882,-45.76138939630341,-44.59881650697688,-37.55211390646485,-22.86771273444022,-18.050593340617393,-15.81392444121667,0.0
0.0,0.0,-2.5803317214387884,-32.04577826830932,-36.90031496978012,-40.324781619570736,-39.78285369234547,-41.06570653088059,-42.69533349191221,-44.03709371280276,-45.370941611158784,-45.37640589638375,-45.318220940707164,-44.846859440978484,-42.60867037187928,-33.42926738039412,-18.33357301763932,-18.62851360704769,-2.8969379790291327,0.0
0.0,0.0,0.0,-30.873853281407044,-27.453483863978597,-37.8775395189102,-38.37327647215837,-40.60228254293367,-41.21461047792645,-42.80807331581452,-43.256958482175136,-43.82568861101503,-44.4233505127866,-43.40219278610244,-38.171866169283554,-17.251104560378927,-15.93433662299207,-10.967496712449593,0.0,0.0
0.0,0.0,0.0,0.0,-27.90247642170537,-32.593547496716,-34.986702590058236,-38.24641643077784,-39.86223651677255,-41.65646911450101,-41.953539031071685,-41.99364208068602,-40.65320767655763,-38.423516438575895,-13.45777733375925,-13.113569501565122,-11.91901452821382,-1.2454541099518366,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-27.827438981487052,-31.592757671695566,-34.25560156605793,-36.69944426716288,-38.07707378184411,-38.552118785091864,-38.660907234352834,-33.128546959868025,-12.638407523628016,-12.246625174577334,-13.157340706139953,-9.875636551511532,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-31.930829066162882,-33.76803403450332,-36.15927462727956,-35.49772014205276,-36.38005227674845,-31.097951598032108,-15.860796683580967,-8.69889729599569,-9.043872500647554,-9.342709489148707,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.931792009428474,-36.32413505266797,-35.99301963510627,-37.36279183162953,-23.450721752323535,-8.34775347544092,-8.41351271963707,-7.106996830702104,-4.388622668799708,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.12434017979351,-30.48893119475029,-24.35301204865085,-14.78538026297805,-7.381196422537826,-7.354640200411163,-4.4284054809329785,-3.006319149489666,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
